player_id,player_name,team_id,team_name,position,rival,es_local,partidos_historicos,partidos_club_ultimos_3,participaciones_ultimos_3,activo_ultimos_3,titulares_ultimos_3,titular_2_de_3,weighted_recent,promedio,p90,std,minimo,maximo,confianza,estabilidad,factor_confianza,factor_contexto,score_base,score_contextual,starter_fecha10
p_2vr8Bq,Álex Verón,t_2eRs85,Vélez Sarsfield,VOL,Tigre,True,12,3,3,True,1,False,2.3238866666666667,2.9443333333333332,5.798570000000001,2.1682418912076855,-0.09,6.3413,0.9631264931364705,0.31563246568235204,0.996312649313647,1.0179999999999998,3.4407361666666665,3.489753847185365,False
p_2x4DpJ,Lautaro Piola,t_2eRs85,Vélez Sarsfield,ARQ,Tigre,True,1,3,3,True,0,False,0.03,0.03,0.03,0.0,0.03,0.03,0.7333333333333334,1.0,0.9733333333333334,1.0179999999999998,0.03,0.029725599999999994,False
p_4LvJZA,Matías Arias,t_2eRs85,Vélez Sarsfield,DEL,Tigre,True,6,3,3,True,0,False,2.3662133333333335,3.464116666666667,5.9832,2.7492388098647713,-0.18,8.3364,0.7533441613465037,0.2667208067325187,0.9753344161346504,1.0179999999999998,3.7096213333333337,3.6832475416574013,False
p_4U4fDQ,Dilan Godoy,t_2eRs85,Vélez Sarsfield,DEL,Tigre,True,19,3,3,True,1,False,2.650746666666667,4.004036842105263,7.574079999999997,3.592420924083016,-0.305,14.2247,1.0,0.21775007485832176,1.0,1.0179999999999998,4.4228960701754385,4.502508199438595,False
p_1JUF3l,Felipe Zenobio,t_1L8FaD,Tigre,ARQ,Vélez Sarsfield,False,23,3,3,True,3,True,8.515133333333333,8.451791304347825,12.33112,3.23219767255445,2.8746,13.9833,1.0,0.2362838594437449,1.0,0.9819999999999998,9.443793188405797,9.27380491101449,True
p_4NFYc4,Valentín Moreno,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,16,3,3,True,3,True,8.472606666666666,8.85124375,12.6906,3.9761885915985338,2.3367,16.58,1.0,0.20095701390585025,1.0,0.9819999999999998,9.678559833333333,9.504345756333331,True
p_1IquRb,Alan Barrionuevo,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,24,3,3,True,3,True,7.123306666666667,9.7070125,13.79646,3.5319809888346128,4.1326,18.0761,1.0,0.22065405889029277,1.0,0.9819999999999998,9.825077333333333,9.64822594133333,True
p_35Wzc1,Juan Villalba,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,8,3,3,True,3,True,8.281726666666668,7.0447875,11.84184,3.863577179039246,1.8583,13.9081,0.807788662398933,0.20560997866133188,0.9807788662398933,0.9819999999999998,8.676979333333334,8.357014389780844,True
p_3NzaGf,Nahuel Banegas,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,12,3,3,True,3,True,8.142053333333333,7.5545083333333345,11.94411,4.1201603577483015,0.412,13.98,0.9390612766057886,0.19530638302894307,0.993906127660579,0.9819999999999998,8.857549500000001,8.645108415072972,True
p_1dEFgX,Jabes Saralegui,t_1L8FaD,Tigre,VOL,Vélez Sarsfield,False,17,3,3,True,3,True,8.364953333333334,6.992058823529412,11.001820000000002,3.9772792099403245,0.49,14.5333,1.0,0.200912980329265,1.0,0.9819999999999998,8.475012196078431,8.322461976549018,True
p_3il4tl,Santiago González,t_1L8FaD,Tigre,VOL,Vélez Sarsfield,False,9,3,3,True,3,True,7.546893333333332,6.537411111111111,9.293199999999999,2.366180840745506,3.27,10.4828,0.8594145143894605,0.29707257194730236,0.9859414514389461,0.9819999999999998,7.57967711111111,7.33860173102483,True
p_1Sh6eR,Martín Garay,t_1L8FaD,Tigre,DEF,Vélez Sarsfield,False,18,3,3,True,2,True,6.947066666666666,7.112638888888889,11.84584,4.131980916922349,1.77,15.9908,1.0,0.19485653126701422,1.0,0.9819999999999998,8.23798888888889,8.089705088888888,True
p_1hfCZH,Santiago López,t_1L8FaD,Tigre,DEL,Vélez Sarsfield,False,24,3,3,True,3,True,5.406466666666666,6.403199999999999,12.915109999999999,4.376115777718867,0.02,15.2257,1.0,0.18600789888946714,1.0,0.9819999999999998,7.682320833333333,7.544039058333331,True
p_0Zmsp3,Mauro Méndez,t_1L8FaD,Tigre,DEL,Vélez Sarsfield,False,5,3,3,True,2,True,2.7981133333333337,3.8147800000000003,8.37156,4.746082910358815,0.34,12.08,0.7014729865753905,0.17403159954361933,0.970147298657539,0.9819999999999998,4.598141666666667,4.380578971859635,True
