player_name,team_name,position,partidos_historial,promedio_winning,promedio_ponderado
Matias Valenti,Estudiantes de Río Cuarto,DEF,19,7.165,7.312
Fabricio Bustos,River Plate,DEF,6,6.994,7.289
Iván Villalba,Independiente Rivadavia,DEF,22,7.157,7.275
Juan Manuel Insaurralde,Sarmiento,DEF,21,7.531,7.25
Imanol González,Gimnasia y Esgrima Mendoza,DEF,7,6.84,7.242
Agustín Sández,Rosario Central,DEF,22,7.224,7.238
Martín Ortega,Newell's Old Boys,DEF,10,7.612,7.237
Ramiro Funes Mori,Estudiantes de La Plata,DEF,6,7.721,7.184
Alcides Benítez,Club Atlético Belgrano,DEF,21,7.054,7.184
Matias Recalde,Gimnasia y Esgrima Mendoza,DEF,20,6.987,7.169
Nicolás Meriano,Banfield,DEF,22,7.235,7.101
Mathias de Ritis,San Lorenzo,DEF,18,7.344,7.075
Mateo Martinez,Racing Club,DEF,3,6.957,7.073
Ezequiel Cannavo,Racing Club,DEF,23,7.072,7.07
Nicolás Pasquini,Sarmiento,DEF,7,6.295,7.044
Luciano Romero,CA Lanús,DEF,1,7.021,7.021
Agustín Falcón,Club Atlético Belgrano,DEF,8,6.391,7.016
Lucas Souto,Defensa y Justicia,DEF,18,6.99,7.0
Gonzalo Escudero,Racing Club,DEF,3,7.859,6.976
Mateo Mendia,Club Atlético Platense,DEF,9,7.268,6.893
Fernando Tobio,Barracas Central,DEF,17,6.549,6.887
Santiago Daniele,Banfield,DEF,11,6.952,6.883
Gastón Suso,Atlético Tucumán,DEF,16,6.782,6.883
Lucas Suárez,Sarmiento,DEF,18,6.798,6.832
Nicolás Goitea,Newell's Old Boys,DEF,12,6.965,6.821
Gastón Campi,Barracas Central,DEF,9,6.826,6.792
Juan Antonini,Estudiantes de Río Cuarto,DEF,15,6.785,6.743
Alexis Soto,Rosario Central,DEF,21,6.892,6.736
Bautista Barros Schelotto,Gimnasia y Esgrima,DEF,12,6.661,6.711
Joaquin Pombo,Aldosivi,DEF,9,6.365,6.668
Juan Pintado,Club Atlético Unión de Santa Fe,DEF,8,6.883,6.646
Luciano Gómez,Independiente Rivadavia,DEF,15,6.539,6.639
Sergio Ojeda,Estudiantes de Río Cuarto,DEF,15,6.531,6.624
Alejo Osella,Independiente Rivadavia,DEF,18,6.339,6.62
José Luis Palomino,CA Talleres,DEF,8,6.394,6.593
