date,player_name,team_name,rival_team_name,position,match_id,minutos,matchup_score,ultimo_equipo_historico,fecha_ultimo_registro,dias_desde_ultimo_registro,transferido_desde_otro_equipo,equipos_historicos_previos,registros_previos_mismo_equipo,tipo_caso
2026-01-26,Tobías Ramírez,Argentinos Juniors,Sarmiento,DEF,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Tomás Molina,Argentinos Juniors,Sarmiento,DEL,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Alejandro Cabrera,Estudiantes de Río Cuarto,Tigre,VOL,m_3gOUak,67.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Ezequiel Forclaz,Estudiantes de Río Cuarto,Tigre,VOL,m_3gOUak,11.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Gabriel Alanís,Estudiantes de Río Cuarto,Tigre,VOL,m_3gOUak,79.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Gonzalo Maffini,Estudiantes de Río Cuarto,Tigre,DEF,m_3gOUak,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Javier Ferreira,Estudiantes de Río Cuarto,Tigre,DEL,m_3gOUak,11.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Martín Garnerone,Estudiantes de Río Cuarto,Tigre,DEL,m_3gOUak,23.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Mateo Bajamich,Estudiantes de Río Cuarto,Tigre,DEL,m_3gOUak,79.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Mauro Valiente,Estudiantes de Río Cuarto,Tigre,VOL,m_3gOUak,67.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Nicolás Talpone,Estudiantes de Río Cuarto,Tigre,VOL,m_3gOUak,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Renzo Bacchia,Estudiantes de Río Cuarto,Tigre,ARQ,m_3gOUak,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Sergio Ojeda,Estudiantes de Río Cuarto,Tigre,DEF,m_3gOUak,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Tobías Ostchega,Estudiantes de Río Cuarto,Tigre,DEF,m_3gOUak,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Brandon Márquez,Sarmiento,Argentinos Juniors,DEL,m_1BLvBV,33.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Carlos Villalba,Sarmiento,Argentinos Juniors,VOL,m_1BLvBV,33.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Cristian Zabala,Sarmiento,Argentinos Juniors,VOL,m_1BLvBV,75.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Gastón Arturia,Sarmiento,Argentinos Juniors,DEF,m_1BLvBV,15.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Javier Burrai,Sarmiento,Argentinos Juniors,ARQ,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Juan Manuel Insaurralde,Sarmiento,Argentinos Juniors,DEF,m_1BLvBV,60.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Junior Marabel,Sarmiento,Argentinos Juniors,DEL,m_1BLvBV,57.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Renzo Orihuela,Sarmiento,Argentinos Juniors,DEF,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Santiago Salle,Sarmiento,Argentinos Juniors,DEF,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Ulises Delgado,Sarmiento,Argentinos Juniors,DEL,m_1BLvBV,16.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Yair Arismendi,Sarmiento,Argentinos Juniors,VOL,m_1BLvBV,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
2026-01-26,Alan Barrionuevo,Tigre,Estudiantes de Río Cuarto,DEF,m_3gOUak,90.0,,,,,False,,0,SIN_HISTORIAL_PREVIO_EN_EQUIPO
