match_id,date,round_name,home_team,away_team,score_home,score_away,referee,goles_totales,resultado_local
m_1fmUw8,2026-05-03,9,Gimnasia LP,Argentinos Juniors,2.0,0.0,Juan Pafundi,2.0,G
m_1H9yMb,2026-02-12,5,Tigre,Aldosivi,1.0,0.0,Bryan Gustavo Ferreyra,1.0,G
m_1hisDs,2026-02-08,4,Newell's Old Boys,Defensa y Justicia,2.0,3.0,Felipe Viola,5.0,P
m_1hukZb,2026-03-21,12,Defensa y Justicia,Unión,2.0,0.0,Felipe Viola,2.0,G
m_1hvbqC,2026-09-04,8,Belgrano,Huracán,1.0,1.0,Luis Lobo Medina,2.0,E
m_1ifuZW,2026-03-16,11,Unión,Boca Juniors,1.0,1.0,Yael Falcón Pérez,2.0,E
m_1IrvXt,2026-03-03,8,Independiente Rivadavia,River Plate,1.0,1.0,Facundo Raúl Tello Figueroa,2.0,E
m_1j8XKc,2026-02-25,7,Gimnasia LP,Rosario Central,1.0,2.0,Fernando Echenique,3.0,P
m_1jdpKo,2026-01-31,3,Independiente,Vélez Sarsfield,1.0,1.0,Hernán Mastrángelo,2.0,E
m_1jmmXo,2026-03-16,11,Racing Club,Estudiantes de Río Cuarto,2.0,0.0,Jorge Ignacio Baliño,2.0,G
m_1jSOwn,2026-09-14,9,Huracán,Racing Club,2.0,1.0,Pablo Dóvalo,3.0,G
m_1JvU76,2026-03-18,11,Central Córdoba de Santiago,Deportivo Riestra,1.0,0.0,Carlos Andrés Gariano,1.0,G
m_1Klahn,2026-03-24,12,Huracán,Barracas Central,0.0,0.0,Facundo Raúl Tello Figueroa,0.0,E
m_1lN21b,2026-09-07,8,Barracas Central,Argentinos Juniors,0.0,0.0,Leandro Rey Hilfer,0.0,E
m_1mw3rN,2026-01-30,2,Estudiantes de Río Cuarto,Argentinos Juniors,0.0,0.0,Jorge Ignacio Baliño,0.0,E
m_1oH2tW,2026-01-23,1,Independiente,Estudiantes,1.0,1.0,Nazareno Arasa,2.0,E
m_1oO6B7,2026-08-30,7,Banfield,River Plate,2.0,3.0,Leandro Rey Hilfer,5.0,P
m_1P18Zr,2026-05-04,9,Vélez Sarsfield,Newell's Old Boys,1.0,1.0,Luis Lobo Medina,2.0,E
m_1P4cPw,2026-02-03,3,Banfield,Estudiantes de Río Cuarto,2.0,1.0,Sebastían Zunino,3.0,G
m_1P4GDL,2026-07-24,1,Racing Club,Gimnasia LP,2.0,1.0,Nicolás Ramírez,3.0,G
m_1qj0Vv,2026-09-15,Clausura - Round 9,Instituto,Estudiantes de Río Cuarto,2.0,1.0,Luis Lobo Medina,3.0,G
