perfil,tipo_registro,orden,player_id,player_name,team_name,position,rival,es_local,score_contextual,score_seleccion,partidos_historicos,participaciones_ultimos_3,titulares_ultimos_3,promedio,p90,std,factor_contexto,factor_confianza,score_diversidad,veces_usado_otros_equipos,score_flex,flex_repetido,titular_mismo_equipo,titular_otro_equipo,veces_flex_usado,perfil_flex,sim_promedio_equipo,sim_p50_equipo,sim_p90_equipo,sim_min_equipo,sim_max_equipo,prob_100,prob_140
INTERMEDIO,FLEX,0,p_47jtXa,Jáminton Campaz,Rosario Central,VOL,Argentinos Juniors,True,13.727713258666666,14.197839466400001,20,3,3,10.590895000000002,19.372400000000003,6.386397938668269,1.0719999999999998,1.0,,,14.197839466400001,False,False,False,0,INTERMEDIO,,,,,,,
INTERMEDIO,FLEX,0,p_2aHbDR,Sebastián Driussi,River Plate,DEL,Huracán,True,10.563235900631579,11.222979050021053,19,3,3,8.477626315789474,15.704939999999999,5.622367048459424,1.0879999999999999,1.0,,,11.222979050021053,False,False,False,0,INTERMEDIO,,,,,,,
INTERMEDIO,FLEX,0,p_3ohM6R,Gastón Verón,Argentinos Juniors,DEL,Rosario Central,False,10.032083772510456,10.602841030963038,9,3,3,7.913644444444445,14.857240000000001,5.021766195301986,1.057,0.9833212847113865,,,10.602841030963038,False,False,False,0,INTERMEDIO,,,,,,,
ARRIESGADO,TITULAR,1,p_1HS5gG,Hernán Galindez,Huracán,ARQ,River Plate,False,10.378362708,14.121612677000002,27,3,3,9.220633333333332,14.737240000000003,3.9392716959630225,0.963,1.0,14.121612677000002,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,2,p_15HxSV,Sebastián Zaracho,Rosario Central,DEF,Argentinos Juniors,True,10.994694716568286,16.148173679142072,2,3,0,9.93,17.37,13.152186130069783,1.0719999999999998,0.9580798758921661,16.148173679142072,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,3,p_0ZUeue,Thiago Silvero,Vélez Sarsfield,DEF,Tigre,True,12.23180766026664,16.083390915066662,12,3,3,9.821366666666666,17.22778,5.782981233732042,1.0179999999999998,0.9929485559978464,16.083390915066662,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,4,p_3lGmY0,Gastón Ávila,Rosario Central,DEF,Argentinos Juniors,True,12.469159990095235,15.75526499752381,21,3,3,10.423428571428571,15.3241,5.134095405243543,1.0719999999999998,1.0,15.75526499752381,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,5,p_4fbCCX,Tomás Galván,River Plate,VOL,Huracán,True,14.421075519999997,19.32550988,28,3,3,9.355,17.94862,7.159480052453634,1.0879999999999999,1.0,19.32550988,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,6,p_47jtXa,Jáminton Campaz,Rosario Central,VOL,Argentinos Juniors,True,13.727713258666666,18.927568314666672,20,3,3,10.590895000000002,19.372400000000003,6.386397938668269,1.0719999999999998,1.0,18.927568314666672,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,7,p_1aur1M,Julián Mavilla,Sarmiento,VOL,Racing Club,False,14.307892100992662,17.963470025248167,7,3,3,11.830514285714285,18.090940000000003,6.192906007529522,1.101,0.9761138506901658,17.963470025248167,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,8,p_36ULM2,Ignacio Russo,Tigre,DEL,Vélez Sarsfield,False,8.663816244266666,16.57732406106667,25,3,3,7.524432000000001,15.920200000000003,6.6579025103456315,0.9819999999999998,1.0,16.57732406106667,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,9,p_2aHbDR,Sebastián Driussi,River Plate,DEL,Huracán,True,10.563235900631579,15.506225975157895,19,3,3,8.477626315789474,15.704939999999999,5.622367048459424,1.0879999999999999,1.0,15.506225975157895,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,TITULAR,10,p_3ohM6R,Gastón Verón,Argentinos Juniors,DEL,Rosario Central,False,10.032083772510456,13.836342943127615,9,3,3,7.913644444444445,14.857240000000001,5.021766195301986,1.057,0.9833212847113865,13.836342943127615,0,,,,,,,143.4230262944827,142.75249395942063,173.36769922198678,58.11185994121254,239.7301925286004,0.976,0.5508
ARRIESGADO,FLEX,0,p_38jdJ6,Sebastián Prieto,Argentinos Juniors,DEF,Rosario Central,False,11.574534856410255,15.733318714102563,26,3,3,10.998976923076924,16.130699999999997,4.67239777735652,1.057,1.0,,,15.733318714102563,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_1bUOsk,Alexis Steimbach,Gimnasia LP,DEF,Banfield,True,10.414230236666668,15.628226559166666,24,2,0,10.3003375,16.533179999999998,6.352708688070713,1.0990000000000002,1.0,,,15.628226559166666,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_0naJM3,Nicolás Barros Schelotto,Gimnasia LP,VOL,Banfield,True,12.53137727766667,17.20642431941667,21,3,0,10.22049523809524,17.916,5.709099190807267,1.0990000000000002,1.0,,,17.20642431941667,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_2c9Jkj,Santiago Gabriel Montiel,Independiente,VOL,Unión,False,12.580223436833332,17.018622359208337,20,3,3,9.083094999999998,17.021030000000003,6.3179774292323545,1.073,1.0,,,17.018622359208337,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_2l6eDm,Matías Abaldo,Independiente,DEL,Unión,False,8.436105906333333,13.761063476583331,24,3,2,7.2677958333333335,13.278939999999999,5.127912412726116,1.073,1.0,,,13.761063476583331,False,False,False,0,ARRIESGADO,,,,,,,
ARRIESGADO,FLEX,0,p_3ybBVT,Marcelo Estigarribia,Unión,DEL,Independiente,True,9.9420850488,13.7409552622,25,3,3,6.788163999999999,13.92188,4.922801551782617,1.098,1.0,,,13.7409552622,False,False,False,0,ARRIESGADO,,,,,,,
