--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
1,Matías Abaldo,uy URU,MFFW,Independiente,22-165,2004,18.8,5,33,16,48.5,1.76,0.85,0.15,0.31,0,0,Matches,5b0041f5
2,Carlos Abeldano,ar ARG,FW,Atlé Tucumán,21-159,2005,6.4,1,12,2,16.7,1.88,0.31,0.08,0.50,0,0,Matches,121f452f
3,Ramón Ábila,ar ARG,FW,Estudiantes–RC,36-336,1989,2.2,0,2,1,50.0,0.92,0.46,0.00,0.00,0,0,Matches,db5ee72d
4,Ignacio Abraham,sy SYR,DFMF,Banfield,28-246,1998,23.3,0,14,5,35.7,0.60,0.21,0.00,0.00,0,0,Matches,02d9aaa9
5,Gonzalo Abrego,ar ARG,MF,CA San Lorenzo,26-251,2000,6.2,0,5,3,60.0,0.81,0.49,0.00,0.00,0,0,Matches,de8bad41
6,Gustavo Abregú,ar ARG,MF,Instituto,29-073,1997,20.3,0,8,1,12.5,0.39,0.05,0.00,0.00,0,0,Matches,1d24b10e
7,Jonás Acevedo,ar ARG,MF,Instituto,29-221,1997,2.4,0,4,1,25.0,1.64,0.41,0.00,0.00,0,0,Matches,0b419c37
8,Benjamin Acosta,ar ARG,FW,Lanús,20-219,2006,0.4,0,2,0,0.0,4.62,0.00,0.00,,0,0,Matches,651a9554
9,Jeremías Acosta,ar ARG,FW,Banfield,18-253,2008,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,831e6bd6
10,Lucas Acosta,ar ARG,GK,Aldosivi,31-187,1995,6.0,0,0,0,,0.00,0.00,,,0,0,Matches,50f7c408
11,Marcos Acuña,ar ARG,DF,River Plate,34-322,1991,13.8,0,12,2,16.7,0.87,0.15,0.00,0.00,0,0,Matches,81442ecb
12,Valentino Acuña,ar ARG,MF,Newell's,20-231,2006,3.3,0,0,0,,0.00,0.00,,,0,0,Matches,a2e1934e
13,Tomás Adoryán,am ARM,MF,Banfield,24-358,2001,11.8,0,28,8,28.6,2.37,0.68,0.00,0.00,0,0,Matches,59684e00
14,Alan Aguerre,ar ARG,GK,C. Córdoba–SdE,36-023,1990,21.5,0,0,0,,0.00,0.00,,,0,0,Matches,ca6050cb
15,Mateo Aguiar,ar ARG,MF,Defensa,19-181,2007,1.7,0,2,1,50.0,1.15,0.57,0.00,0.00,0,0,Matches,251ea0b9
16,Pablo Aguiar,ar ARG,MF,Gimnasia–LP,20-181,2006,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,5b8730ca
17,Brian Aguirre,ar ARG,MF,Estudiantes–LP,23-106,2003,7.3,1,20,9,45.0,2.73,1.23,0.05,0.11,0,0,Matches,edfebd8d
18,Brian Aguirre,ar ARG,FWMF,Boca Juniors,23-106,2003,0.2,0,1,0,0.0,4.09,0.00,0.00,,0,0,Matches,edfebd8d
19,Misael Aguirre,ar ARG,FWMF,Unión,18-321,2007,6.3,1,17,4,23.5,2.71,0.64,0.06,0.25,0,0,Matches,bbef1106
20,Santino Aguirre,ar ARG,MF,Racing Club,19-184,2007,0.1,0,2,0,0.0,20.00,0.00,0.00,,0,0,Matches,0bd89dc4
21,Thiago Aguirre,ar ARG,FW,Vélez Sarsfield,17-213,2009,2.4,1,1,1,100.0,0.41,0.41,1.00,1.00,0,0,Matches,70bacebb
22,Manuel Agustín Duarte,ar ARG,MF,Barracas Central,25-023,2001,1.1,0,4,0,0.0,3.71,0.00,0.00,,0,0,Matches,be50f4be
23,Facundo Alaggia,ar ARG,MF,Sarmiento–J,21-106,2005,0.5,0,2,1,50.0,4.29,2.14,0.00,0.00,0,0,Matches,06eaa4fa
24,Gabriel Alanís,ar ARG,MFFW,Estudiantes–RC,32-183,1994,16.6,2,35,9,25.7,2.11,0.54,0.06,0.22,0,0,Matches,d9ebfcfa
25,Fernando Alarcón,ar ARG,DF,Instituto,32-091,1994,20.6,1,16,5,31.3,0.78,0.24,0.06,0.20,0,0,Matches,b4c8e4c5
26,Williams Alarcón,cl CHI,MF,Boca Juniors,25-299,2000,5.2,0,4,1,25.0,0.76,0.19,0.00,0.00,0,0,Matches,325d990a
27,Lucas Alario,ar ARG,FW,Estudiantes–LP,33-342,1992,2.5,1,3,1,33.3,1.19,0.40,0.33,1.00,0,0,Matches,834d0be5
28,Gonzalo Alassia,ar ARG,MF,CA San Lorenzo,22-214,2004,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,f9f1d02c
29,Alan Alcaraz,ar ARG,MF,Arg Juniors,17-257,2009,0.4,0,3,3,100.0,6.75,6.75,0.00,0.00,0,0,Matches,1ff5228c
30,Rodrigo Aliendro,ar ARG,MF,Vélez Sarsfield,35-211,1991,16.8,1,24,5,20.8,1.43,0.30,0.04,0.20,0,0,Matches,8b259046
31,Ángel Almada,ar ARG,MF,Dep. Riestra,25-359,2000,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,53247361
32,Thiago Almada,ar ARG,MF,River Plate,25-142,2001,4.9,2,18,8,44.4,3.67,1.63,0.11,0.25,1,1,Matches,27f33438
33,Antony Alonso,ar ARG,MFFW,Dep. Riestra,28-127,1998,18.9,4,32,19,59.4,1.70,1.01,0.13,0.21,0,0,Matches,d96469f1
34,Facundo Altamira,,MF,Defensa,,,1.8,0,2,1,50.0,1.08,0.54,0.00,0.00,0,0,Matches,5bf873f8
35,Agustín Álvarez,uy URU,FW,Talleres–C,25-119,2001,3.1,2,14,6,42.9,4.58,1.96,0.14,0.33,1,1,Matches,ab472696
36,Emiliano Álvarez,uy URU,DF,Unión,25-221,2001,0.9,0,0,0,,0.00,0.00,,,0,0,Matches,a7d668f3
37,Fabio Álvarez,ar ARG,MF,Banfield,33-235,1993,1.9,0,2,0,0.0,1.07,0.00,0.00,,0,0,Matches,2aae3ff2
38,Federico Álvarez,ar ARG,DF,Tigre,32-039,1994,15.6,0,16,1,6.3,1.03,0.06,0.00,0.00,0,0,Matches,32a9f0f0
39,Francisco Álvarez,ar ARG,DF,Arg Juniors,26-201,2000,23.9,2,27,6,22.2,1.13,0.25,0.07,0.33,0,0,Matches,1990d38d
40,Juan Álvarez,ar ARG,FWMF,Gimnasia–M,30-217,1996,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,4c50934e
41,Juan Álvarez,ar ARG,MF,CA San Lorenzo,30-217,1996,2.4,0,3,2,66.7,1.23,0.82,0.00,0.00,0,0,Matches,4c50934e
42,Franco Amarfil,ar ARG,MF,Platense,25-188,2001,12.4,0,11,2,18.2,0.89,0.16,0.00,0.00,0,0,Matches,7ca68313
43,Mikel Amondarain,ar ARG,MF,Estudiantes–LP,21-252,2005,11.6,2,14,6,42.9,1.20,0.52,0.14,0.33,0,0,Matches,95cf8804
44,Emiliano Amor,sy SYR,DF,Defensa,31-122,1995,14.5,1,3,1,33.3,0.21,0.07,0.33,1.00,0,0,Matches,3fc6c051
45,Emiliano Amor,sy SYR,DF,CA San Lorenzo,31-122,1995,7.0,0,2,1,50.0,0.29,0.14,0.00,0.00,0,0,Matches,3fc6c051
46,Brian Andrada,ar ARG,FWMF,Gimnasia–M,29-085,1997,3.0,0,3,1,33.3,0.99,0.33,0.00,0.00,0,0,Matches,7d4c074a
47,Tobías Andrada,ar ARG,MF,Vélez Sarsfield,19-225,2007,16.0,1,16,5,31.3,1.00,0.31,0.06,0.20,0,0,Matches,ac9ba4dd
48,Tobías Andrada,ar ARG,MF,River Plate,19-225,2007,5.3,1,4,2,50.0,0.75,0.38,0.25,0.50,0,0,Matches,ac9ba4dd
49,Luis Angulo,co COL,MF,Talleres–C,22-176,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,88ad94f7
50,Federico Anselmo,ar ARG,FW,Banfield,32-151,1994,1.5,0,10,0,0.0,6.57,0.00,0.00,,0,0,Matches,c292fc1d
51,Felipe Anso,ar ARG,MF,Aldosivi,19-191,2007,4.8,1,6,1,16.7,1.24,0.21,0.17,1.00,0,0,Matches,5ac4cd95
52,Fermín Antonini,ar ARG,MF,Gimnasia–M,29-075,1997,16.3,0,11,3,27.3,0.68,0.18,0.00,0.00,0,0,Matches,09dab107
53,Juan Antonini,ar ARG,DF,Estudiantes–RC,27-195,1999,12.6,0,7,1,14.3,0.56,0.08,0.00,0.00,0,0,Matches,cdca8983
54,Dylan Aquino,ar ARG,MF,Lanús,21-103,2005,9.2,6,33,13,39.4,3.58,1.41,0.18,0.46,0,0,Matches,dababecf
55,Mauro Arambarri,uy URU,MF,River Plate,30-350,1995,1.2,0,1,0,0.0,0.80,0.00,0.00,,0,0,Matches,58afe001
56,Tomás Aranda,ar ARG,MFFW,Boca Juniors,19-129,2007,12.1,1,35,7,20.0,2.90,0.58,0.03,0.14,0,0,Matches,85b1236c
57,Danilo Arboleda,co COL,DF,CA San Lorenzo,31-122,1995,6.0,0,5,1,20.0,0.83,0.17,0.00,0.00,0,0,Matches,df418fc0
58,Danilo Arboleda,co COL,DF,Banfield,31-122,1995,15.3,0,1,1,100.0,0.07,0.07,0.00,0.00,0,0,Matches,df418fc0
59,Iván Arboleda,co COL,GK,Sarmiento–J,30-147,1996,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,f8cfae1f
60,Álex Arce,py PAR,FW,Ind. Rivadavia,31-091,1995,12.2,9,35,17,48.6,2.88,1.40,0.26,0.53,2,3,Matches,10411db2
61,Carlos Arce,ar ARG,MF,Barracas Central,35-364,1990,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,4c49e1f1
62,Ignacio Arce,ar ARG,GK,Dep. Riestra,34-160,1992,25.0,0,1,0,0.0,0.04,0.00,0.00,,0,0,Matches,707fcc63
63,Gabriel Arias,cl CHI,GK,Newell's,39-002,1987,6.8,0,0,0,,0.00,0.00,,,0,0,Matches,9f9cbfca
64,Junior Arias,uy URU,FW,Aldosivi,33-121,1993,7.9,0,19,3,15.8,2.39,0.38,0.00,0.00,0,0,Matches,0e740cff
65,Matías Arias,ar ARG,MF,Vélez Sarsfield,19-130,2007,1.5,0,3,1,33.3,1.96,0.65,0.00,0.00,0,0,Matches,052c41be
66,Oscar Arias,ar ARG,DF,CA San Lorenzo,21-256,2005,0.6,0,0,0,,0.00,0.00,,,0,0,Matches,267c2050
67,Ramón Arias,uy URU,DF,Tigre,34-050,1992,3.3,0,1,0,0.0,0.31,0.00,0.00,,0,0,Matches,8b6d7b27
68,Santiago Arias,co COL,DF,Independiente,34-245,1992,13.1,0,3,1,33.3,0.23,0.08,0.00,0.00,0,0,Matches,fdd60087
69,Joaquín Ariel Novillo,ar ARG,DF,Aldosivi,28-208,1998,7.3,0,3,2,66.7,0.41,0.28,0.00,0.00,0,0,Matches,af36c6d0
70,Franco Armani,ar ARG,GK,River Plate,39-334,1986,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,b3e42951
71,Blas Armoa,py PAR,FW,Gimnasia–M,26-224,2000,3.4,1,6,2,33.3,1.78,0.59,0.17,0.50,0,0,Matches,c0d97f5c
72,Gaston Arturia,ar ARG,DF,Sarmiento–J,26-321,1999,5.7,0,5,1,20.0,0.88,0.18,0.00,0.00,0,0,Matches,cb5e158d
73,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,29-202,1997,1.0,0,2,0,0.0,2.00,0.00,0.00,,0,0,Matches,e26fcca3
74,Santiago Ascacíbar,ar ARG,MF,Boca Juniors,29-202,1997,16.7,5,24,9,37.5,1.44,0.54,0.21,0.56,0,0,Matches,e26fcca3
75,Jorge de Asís,ar ARG,FW,Gimnasia–LP,20-229,2006,0.3,0,2,0,0.0,7.83,0.00,0.00,,0,0,Matches,3b6c0225
76,Rodrigo Atencio,ar ARG,MFFW,Ind. Rivadavia,24-077,2002,9.5,0,15,2,13.3,1.58,0.21,0.00,0.00,0,0,Matches,5540acb4
77,Agustín Auzmendi,ar ARG,FW,Gimnasia–LP,29-226,1997,14.4,6,34,15,44.1,2.35,1.04,0.18,0.40,1,1,Matches,b5a3e7fe
78,Rodrigo Auzmendi,ar ARG,FW,CA San Lorenzo,25-256,2001,13.2,5,43,18,41.9,3.27,1.37,0.12,0.28,0,0,Matches,c89d0b23
79,Rodrigo Auzmendi,ar ARG,FW,Banfield,25-256,2001,2.1,0,6,1,16.7,2.89,0.48,0.00,0.00,0,0,Matches,c89d0b23
80,Gabriel Ávalos,py PAR,FW,Independiente,35-338,1990,21.7,10,55,15,27.3,2.54,0.69,0.18,0.67,2,2,Matches,b6781b67
81,Ezequiel Ávila,ar ARG,FW,Independiente,32-221,1994,1.2,0,4,0,0.0,3.24,0.00,0.00,,0,0,Matches,253a06b9
82,Gastón Ávila,ar ARG,DF,Rosario Central,24-350,2001,16.2,2,14,4,28.6,0.86,0.25,0.14,0.50,0,0,Matches,f648b2e1
83,Lucas Ayala,ar ARG,DF,Unión,19-216,2007,6.4,0,3,0,0.0,0.47,0.00,0.00,,0,0,Matches,fc9fa719
84,Thyago Ayala,ar ARG,GK,Sarmiento–J,25-008,2001,7.0,0,0,0,,0.00,0.00,,,0,0,Matches,0f200ce4
85,Renzo Bacchia,uy URU,GK,Estudiantes–RC,27-235,1999,5.0,0,0,0,,0.00,0.00,,,0,0,Matches,8ccc2401
86,Rodrigo Bacidalupe,ar ARG,FW,Boca Juniors,19-055,2007,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,e3830319
87,Tomás Badaloni,ar ARG,FW,Rosario Central,26-136,2000,3.1,0,4,0,0.0,1.29,0.00,0.00,,0,0,Matches,d3a444aa
88,Gabriel Báez,ar ARG,DFMF,Talleres–C,31-056,1995,11.8,0,10,2,20.0,0.85,0.17,0.00,0.00,0,0,Matches,8032e250
89,Claudio Baeza,cl CHI,MF,Vélez Sarsfield,32-266,1993,12.8,0,5,0,0.0,0.39,0.00,0.00,,0,0,Matches,9ba1c30c
90,Mateo Bajamich,ar ARG,FW,Estudiantes–RC,27-043,1999,11.0,1,21,9,42.9,1.91,0.82,0.05,0.11,0,0,Matches,d005b036
91,Adrián Balboa,uy URU,FW,Banfield,32-239,1994,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,0,0,Matches,42cd719c
92,Éver Banega,ar ARG,MF,Defensa,38-078,1988,3.9,0,3,0,0.0,0.76,0.00,0.00,,0,0,Matches,fa937f7a
93,Nahuel Banegas,ar ARG,DF,Tigre,29-344,1996,9.5,0,11,4,36.4,1.16,0.42,0.00,0.00,0,0,Matches,55551a71
94,Juan Barbieri,ar ARG,FW,Barracas Central,29-363,1996,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,64daaa57
95,Miguel Barbieri,ar ARG,DF,Dep. Riestra,33-022,1993,6.3,0,5,2,40.0,0.80,0.32,0.00,0.00,0,0,Matches,0e8cbfc4
96,David Barbona,ar ARG,MFFW,Defensa,31-205,1995,10.8,4,20,11,55.0,1.85,1.02,0.20,0.36,0,1,Matches,62eef061
97,Nahuel Barboza,ar ARG,MF,Gimnasia–M,26-364,1999,7.8,0,1,0,0.0,0.13,0.00,0.00,,0,0,Matches,b393a6c0
98,Adam Bareiro,py PAR,FW,Boca Juniors,30-051,1996,7.5,3,18,10,55.6,2.40,1.33,0.17,0.30,0,0,Matches,afb7f0ea
99,Juan Barinaga,ar ARG,DF,Boca Juniors,25-340,2000,7.9,0,2,1,50.0,0.25,0.13,0.00,0.00,0,0,Matches,6bdb7078
100,Juan Barinaga,ar ARG,DF,Racing Club,25-340,2000,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,6bdb7078
101,Williams Barlasina,ar ARG,GK,Newell's,28-078,1998,4.2,0,0,0,,0.00,0.00,,,0,0,Matches,bea9b02f
102,Giovanni Baroni,ar ARG,MFFW,Talleres–C,17-237,2009,8.8,0,17,5,29.4,1.92,0.57,0.00,0.00,0,0,Matches,4dff9e5a
103,Diego Barrera,ar ARG,MFDF,C. Córdoba–SdE,22-085,2004,19.9,3,32,11,34.4,1.61,0.55,0.09,0.27,0,0,Matches,3ad28381
104,Alan Barrionuevo,ar ARG,DF,Tigre,29-256,1997,24.0,2,31,8,25.8,1.29,0.33,0.06,0.25,0,0,Matches,f2e5d390
105,Martín Barrios,uy URU,MF,Platense,27-234,1999,9.8,0,11,2,18.2,1.12,0.20,0.00,0.00,0,0,Matches,715c684b
106,Nahuel Barrios,ar ARG,MF,CA San Lorenzo,28-131,1998,3.6,0,4,1,25.0,1.10,0.28,0.00,0.00,0,0,Matches,b2fabf7e
107,Rafael Barrios,ar ARG,DFMF,Barracas Central,33-115,1993,12.1,0,1,0,0.0,0.08,0.00,0.00,,0,0,Matches,16f7625e
108,Bautista Barros Schelotto,ar ARG,DF,Gimnasia–LP,26-245,2000,8.3,1,3,1,33.3,0.36,0.12,0.33,1.00,0,0,Matches,ab935d6a
109,Bruno Barticciotto,cl CHI,FWMF,Huracán,25-131,2001,0.5,0,1,0,0.0,1.96,0.00,0.00,,0,0,Matches,11a865cb
110,Bruno Barticciotto,cl CHI,FW,Talleres–C,25-131,2001,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,11a865cb
111,Tomás Belmonte,ar ARG,MF,Boca Juniors,28-111,1998,8.8,1,11,2,18.2,1.25,0.23,0.09,0.50,0,0,Matches,9928bf1a
112,Lucas Beltrán,ar ARG,FW,River Plate,25-170,2001,4.7,0,10,4,40.0,2.14,0.86,0.00,0.00,0,0,Matches,482d2bc3
113,Santiago Beltrán,ar ARG,GK,River Plate,21-346,2004,24.5,0,0,0,,0.00,0.00,,,0,0,Matches,83340875
114,Gastón Benedetti,ar ARG,DF,Estudiantes–LP,25-170,2001,18.1,0,8,0,0.0,0.44,0.00,0.00,,0,0,Matches,58a19703
115,Blas Benedetto,ar ARG,MF,Newell's,20-182,2006,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,aa3aa676
116,Nicolás Benegas,ar ARG,FW,Dep. Riestra,30-198,1996,9.1,1,34,15,44.1,3.73,1.64,0.03,0.07,0,0,Matches,b7b1dea7
117,Alcides Benítez,py PAR,DFMF,Belgrano,24-079,2002,15.0,0,8,1,12.5,0.53,0.07,0.00,0.00,0,0,Matches,6359a492
118,Martín Benítez,ar ARG,FW,Atlé Tucumán,32-090,1994,1.1,1,2,1,50.0,1.89,0.95,0.50,1.00,1,1,Matches,c122e34e
119,Fernando Bersano,ar ARG,DFMF,Estudiantes–RC,28-255,1998,0.2,0,1,0,0.0,4.74,0.00,0.00,,0,0,Matches,13718190
120,Lucas Besozzi,ar ARG,MF,Lanús,23-236,2003,7.5,0,7,3,42.9,0.94,0.40,0.00,0.00,0,0,Matches,d8dcc840
121,Juan Bisanz,ar ARG,FWMF,Huracán,25-018,2001,12.1,2,37,11,29.7,3.06,0.91,0.05,0.18,0,0,Matches,7a012117
122,Domingo Blanco,ar ARG,MF,Defensa,31-146,1995,2.2,0,2,0,0.0,0.91,0.00,0.00,,0,0,Matches,c21f5b76
123,Lautaro Blanco,ar ARG,DF,Boca Juniors,27-208,1999,20.1,1,11,3,27.3,0.55,0.15,0.09,0.33,0,0,Matches,1657f448
124,Nicolás Blanco,ar ARG,DF,CA San Lorenzo,19-158,2007,1.7,0,0,0,,0.00,0.00,,,0,0,Matches,7ba8f32a
125,Lucas Blondel,ch SUI,DFMF,Huracán,30-001,1996,16.0,1,29,4,13.8,1.81,0.25,0.03,0.25,0,0,Matches,4b97076c
126,Héctor Bobadilla,py PAR,FW,Platense,25-099,2001,0.8,1,4,2,50.0,5.00,2.50,0.25,0.50,0,0,Matches,9b003b2b
127,Roberto Bochi,ar ARG,MF,Aldosivi,39-071,1987,7.5,0,3,0,0.0,0.40,0.00,0.00,,0,0,Matches,396970dd
128,Rodrigo Bogarín,py PAR,MF,Barracas Central,29-114,1997,2.1,0,8,3,37.5,3.75,1.41,0.00,0.00,0,0,Matches,5bc7c208
129,Nicolás Bolcato,ar ARG,GK,Ind. Rivadavia,22-132,2004,22.9,0,0,0,,0.00,0.00,,,0,0,Matches,4ada7df5
130,Cayetano Bolzán,ar ARG,FW,Gimnasia–LP,20-185,2006,0.4,0,1,0,0.0,2.31,0.00,0.00,,0,0,Matches,af9d796b
131,Ezequiel Bonifacio,ar ARG,DFMF,Ind. Rivadavia,32-129,1994,6.9,0,5,1,20.0,0.73,0.15,0.00,0.00,0,0,Matches,0b6ff48b
132,Matías Borgogno,ar ARG,GK,Platense,28-025,1998,16.0,0,0,0,,0.00,0.00,,,0,0,Matches,0bad403e
133,Matías Borgogno,ar ARG,GK,Defensa,28-025,1998,9.0,0,0,0,,0.00,0.00,,,0,0,Matches,0bad403e
134,Rafael Borré,co COL,FW,River Plate,31-000,1995,3.1,0,4,1,25.0,1.30,0.32,0.00,0.00,0,0,Matches,c68da769
135,Benjamín Bosch,ar ARG,FW,Platense,21-092,2005,0.3,0,1,0,0.0,3.91,0.00,0.00,,0,0,Matches,7a16bf7a
136,Rubén Botta,ar ARG,MFFW,Defensa,36-227,1990,9.4,1,14,6,42.9,1.48,0.64,0.07,0.17,0,1,Matches,b11fd1e7
137,Tomás Bottari,ar ARG,MF,Ind. Rivadavia,25-142,2001,15.6,0,4,0,0.0,0.26,0.00,0.00,,0,0,Matches,145c1af1
138,Walter Bou,ar ARG,FWMF,Lanús,33-021,1993,6.6,2,10,5,50.0,1.51,0.75,0.20,0.40,1,1,Matches,b5143c97
139,Mariano Bracamonte,ar ARG,DF,Dep. Riestra,27-144,1999,11.8,1,13,4,30.8,1.10,0.34,0.08,0.25,0,0,Matches,9687232d
140,Malcom Braida,ar ARG,DF,Boca Juniors,29-121,1997,4.9,0,1,0,0.0,0.20,0.00,0.00,,0,0,Matches,7cc9bb66
141,Agustin Bravo,ar ARG,DF,Instituto,25-127,2001,1.2,0,0,0,,0.00,0.00,,,0,0,Matches,6159b1e9
142,Claudio Bravo,ar ARG,DF,Arg Juniors,29-186,1997,3.3,0,1,0,0.0,0.30,0.00,0.00,,0,0,Matches,5619c5e8
143,Néstor Breitenbruch,ar ARG,DF,Aldosivi,31-002,1995,9.0,0,3,0,0.0,0.33,0.00,0.00,,0,0,Matches,44b130dc
144,Leandro Brey,ar ARG,GK,Boca Juniors,23-359,2002,5.1,0,0,0,,0.00,0.00,,,0,0,Matches,0827937d
145,Norberto Briasco,am ARM,FW,Barracas Central,30-198,1996,9.7,1,22,8,36.4,2.27,0.83,0.05,0.13,0,0,Matches,b47b5b30
146,Manuel Brondo,ar ARG,FW,Atlé Tucumán,24-202,2002,3.3,0,7,2,28.6,2.10,0.60,0.00,0.00,0,0,Matches,595add88
147,Jorge Broun,ar ARG,GK,Rosario Central,40-112,1986,4.0,0,0,0,,0.00,0.00,,,0,0,Matches,6503ae16
148,Facundo Bruera,ar ARG,FW,Barracas Central,27-357,1998,15.1,1,36,14,38.9,2.38,0.92,0.03,0.07,0,0,Matches,8d7881e1
149,Lucas Bruera,ar ARG,GK,Estudiantes–RC,28-331,1997,9.0,0,0,0,,0.00,0.00,,,0,0,Matches,5c8a8a64
150,Leonel Bucca,ar ARG,MFDF,Ind. Rivadavia,27-179,1999,5.8,4,14,5,35.7,2.41,0.86,0.29,0.80,0,0,Matches,c2d7780d
151,Ezequiel Burdín,uy URU,DF,Defensa,21-334,2004,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,5c195263
152,Joaquín Burgos,ar ARG,MF,Estudiantes–LP,21-275,2004,8.9,1,17,9,52.9,1.91,1.01,0.06,0.11,0,0,Matches,e8a7b528
153,Javier Burrai,ec ECU,GK,Sarmiento–J,35-341,1990,16.0,0,0,0,,0.00,0.00,,,0,0,Matches,24bfa4d8
154,Felipe Bussio,ar ARG,MF,Platense,22-091,2004,6.5,0,3,0,0.0,0.46,0.00,0.00,,0,0,Matches,a1206ad0
155,Fabricio Bustos,ar ARG,DF,River Plate,30-140,1996,2.0,0,3,0,0.0,1.50,0.00,0.00,,0,0,Matches,82549f54
156,Luciano Cabral,cl CHI,MF,Independiente,31-142,1995,3.0,1,8,2,25.0,2.67,0.67,0.13,0.50,0,0,Matches,f49fd6b5
157,Alejandro Cabrera,ar ARG,MF,Estudiantes–RC,33-350,1992,11.9,0,11,0,0.0,0.93,0.00,0.00,,0,0,Matches,8668884d
158,Bruno Cabrera,ar ARG,DF,Newell's,29-140,1997,7.8,1,9,2,22.2,1.16,0.26,0.11,0.50,0,0,Matches,7712406d
159,Bruno Cabrera,ar ARG,MF,Lanús,23-086,2003,3.4,0,7,1,14.3,2.08,0.30,0.00,0.00,0,0,Matches,548ffe4c
160,Elías Cabrera,ar ARG,MF,Tigre,23-202,2003,7.9,0,19,5,26.3,2.39,0.63,0.00,0.00,0,0,Matches,4874cad4
161,Marcelo Cabrera,ar ARG,DF,Rosario Central,20-005,2006,0.4,0,2,1,50.0,5.45,2.73,0.00,0.00,0,0,Matches,9e6fb88c
162,Máximo Cabrera,ar ARG,GK,Gimnasia–LP,20-019,2006,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,777077ec
163,Darío Cáceres,py PAR,DFMF,C. Córdoba–SdE,28-232,1998,5.7,0,3,1,33.3,0.52,0.17,0.00,0.00,0,0,Matches,18637ecc
164,Darío Cáceres,py PAR,MFDF,Defensa,28-232,1998,3.4,0,4,0,0.0,1.17,0.00,0.00,,0,0,Matches,18637ecc
165,Mateo Caceres,ar ARG,MF,Talleres–C,23-355,2002,7.2,0,5,3,60.0,0.70,0.42,0.00,0.00,0,0,Matches,afc7a109
166,Jordy Caicedo,ec ECU,FW,Huracán,28-301,1997,21.1,13,46,25,54.3,2.18,1.18,0.28,0.52,3,3,Matches,7fcb27d8
167,Franco Calderón,ar ARG,DF,Independiente,28-125,1998,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,838dea0a
168,Facundo Cambeses,ar ARG,GK,Racing Club,29-159,1997,25.0,0,0,0,,0.00,0.00,,,0,0,Matches,0a7c2b06
169,Jaminton Campaz,co COL,MF,Rosario Central,26-114,2000,14.5,3,50,23,46.0,3.44,1.58,0.06,0.13,0,0,Matches,8d5ceef2
170,Gastón Campi,ar ARG,DF,Barracas Central,35-162,1991,7.3,0,1,0,0.0,0.14,0.00,0.00,,0,0,Matches,74223a01
171,Alberto Campo,ec ECU,FW,Racing Club,20-001,2006,0.8,0,1,0,0.0,1.18,0.00,0.00,,0,0,Matches,a474595b
172,Ignacio Campo,ar ARG,DF,Huracán,21-169,2005,6.8,1,5,2,40.0,0.73,0.29,0.20,0.50,0,0,Matches,db8c83e8
173,José Canale,py PAR,DF,Lanús,30-057,1996,16.5,0,5,1,20.0,0.30,0.06,0.00,0.00,0,0,Matches,97d24b73
174,Jhonatan Candia,uy URU,FW,Barracas Central,31-184,1995,11.7,1,24,10,41.7,2.06,0.86,0.04,0.10,0,0,Matches,a62813d2
175,Alexis Canelo,ar ARG,FWMF,Atlé Tucumán,34-224,1992,0.6,0,1,0,0.0,1.73,0.00,0.00,,0,0,Matches,fa828ce6
176,Ezequiel Cannavo,ar ARG,DF,Racing Club,24-095,2002,20.7,1,10,2,20.0,0.48,0.10,0.10,0.50,0,0,Matches,134bd6e4
177,Lautaro Cano,ar ARG,DFMF,Banfield,24-024,2002,2.4,0,2,0,0.0,0.84,0.00,0.00,,0,0,Matches,95d76060
178,Giovanni Cantizano,ar ARG,MF,Rosario Central,19-178,2007,5.9,0,15,6,40.0,2.54,1.02,0.00,0.00,0,0,Matches,75bb4606
179,Nicolás Capraro,ar ARG,DF,Barracas Central,28-196,1998,12.6,0,3,2,66.7,0.24,0.16,0.00,0.00,0,0,Matches,d64d46e4
180,Valentin Carboni,ar ARG,FW,Racing Club,21-194,2005,2.2,0,3,0,0.0,1.34,0.00,0.00,,0,0,Matches,707b98f1
