--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
905,Gino Santilli,ar ARG,GK,Banfield,24-324,2001,2.0,0,0,0,,0.00,0.00,,,0,0,Matches,1b7824ba
906,Michael Santos,uy URU,FW,C. Córdoba–SdE,33-186,1993,16.8,7,34,14,41.2,2.02,0.83,0.21,0.50,2,2,Matches,3cb6f224
907,Michael Santos,uy URU,FW,Vélez Sarsfield,33-186,1993,0.1,0,1,1,100.0,18.00,18.00,0.00,0.00,0,0,Matches,3cb6f224
908,Jabes Saralegui,ar ARG,MF,Tigre,23-156,2003,12.4,0,14,4,28.6,1.13,0.32,0.00,0.00,0,0,Matches,a694431e
909,Fabrizio Sartori,ar ARG,FWMF,Ind. Rivadavia,24-062,2002,17.0,7,30,13,43.3,1.76,0.76,0.23,0.54,0,0,Matches,2755e745
910,Matías Satas,ar ARG,DF,Boca Juniors,18-199,2008,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,576d9f03
911,Rodrigo Sayavedra,ar ARG,DF,Dep. Riestra,31-056,1995,1.6,0,0,0,,0.00,0.00,,,0,0,Matches,bb2ffda5
912,Francisco Scarpeccio,ar ARG,FW,Newell's,20-236,2006,3.1,1,5,3,60.0,1.62,0.97,0.20,0.33,0,0,Matches,84828111
913,Nicolas Schelotto,ar ARG,MF,Gimnasia–LP,19-358,2006,15.0,3,19,9,47.4,1.27,0.60,0.16,0.33,0,0,Matches,afa3a0a1
914,Augusto Schott,ar ARG,DF,Talleres–C,26-241,2000,22.7,3,20,6,30.0,0.88,0.26,0.15,0.50,0,0,Matches,c52aaba0
915,Alexis Segovia,ar ARG,MF,Atlé Tucumán,22-092,2004,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,a76f6e93
916,Santiago Segovia,ar ARG,MF,Rosario Central,19-173,2007,0.8,0,5,0,0.0,5.92,0.00,0.00,,0,0,Matches,40e48af1
917,Mateo Seoane,ar ARG,MF,Gimnasia–LP,22-218,2004,8.5,0,2,1,50.0,0.24,0.12,0.00,0.00,0,0,Matches,6741884a
918,Bruno Sepúlveda,ar ARG,FW,Banfield,33-363,1992,6.4,4,15,7,46.7,2.33,1.09,0.27,0.57,2,2,Matches,29ee723f
919,Bruno Sepúlveda,ar ARG,FW,Platense,33-363,1992,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,29ee723f
920,Matías Sepúlveda,cl CHI,MF,Lanús,27-187,1999,9.8,0,16,3,18.8,1.63,0.31,0.00,0.00,0,0,Matches,b5206b67
921,Leonardo Sequeira,ar ARG,FWMF,Huracán,31-142,1995,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,f775c775
922,Leonardo Sequeira,ar ARG,FWMF,C. Córdoba–SdE,31-142,1995,3.1,0,14,0,0.0,4.48,0.00,0.00,,0,0,Matches,f775c775
923,Luis Sequeira,ar ARG,MF,Ind. Rivadavia,23-250,2003,1.9,0,9,2,22.2,4.63,1.03,0.00,0.00,0,0,Matches,fe8334f8
924,Tiago Serrago,ar ARG,MF,Tigre,22-222,2004,10.3,1,14,4,28.6,1.36,0.39,0.07,0.25,0,0,Matches,504cd579
925,Agustín Seyral,ar ARG,DF,Sarmiento–J,21-227,2005,8.0,0,2,0,0.0,0.25,0.00,0.00,,0,0,Matches,3d8a448f
