,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
293,Lisandro Duarte,ar ARG,MF,Rosario Central,19-056,2007,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8787bfc8
294,Nicolás Dubersarsky,ar ARG,MF,Tigre,21-268,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bed3eed1
295,Jalil Elías,sy SYR,MF,Tigre,30-143,1996,19,17,1510,16.8,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,ffab97dd
296,Jalil Elías,sy SYR,MF,Estudiantes–LP,30-143,1996,1,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ffab97dd
297,Guillermo Enrique,ar ARG,DF,Aldosivi,26-203,2000,7,2,287,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4d26ae2d
298,Iván Erquiaga,ar ARG,DF,Instituto,28-173,1998,2,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d6558b78
299,Gonzalo Errecalde,ar ARG,DF,Gimnasia–LP,26-169,2000,3,3,194,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d33b11ab
300,Franco Escobar,ar ARG,DF,Newell's,31-206,1995,7,5,431,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,54f33d0e
301,Simon Escobar,ar ARG,MFDF,Vélez Sarsfield,17-060,2009,7,4,426,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,96c56785
302,Gonzalo Escudero,ar ARG,DF,Racing Club,19-167,2007,3,2,197,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,11a91475
303,Alfonso Espino,uy URU,DF,Racing Club,34-253,1992,3,2,163,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db001fa9
304,Juan Espínola,py PAR,GK,Barracas Central,31-317,1994,6,5,461,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93649708
305,Marcelo Esponda,ar ARG,MF,Newell's,23-244,2003,6,2,201,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e7bc6a66
306,Santiago Esquivel,ar ARG,MF,Banfield,22-256,2004,15,9,731,8.1,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,a2596370
307,Marcelo Estigarribia,ar ARG,FW,Unión,31-158,1995,23,18,1622,18.0,4,2,6,2,2,2,5,0,0.22,0.11,0.33,0.11,0.22,Matches,d535f426
308,Yair Ezequiel Arismendi,ar ARG,MFDF,Sarmiento–J,28-163,1998,10,6,599,6.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,9438188a
309,Kevin Facundo Gutiérrez,ar ARG,MF,Arg Juniors,29-104,1997,9,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b9412d9e
310,Tomás Fagioli,ar ARG,DF,Unión,21-024,2005,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7503c97a
311,Agustín Falcón,ar ARG,DFMF,Belgrano,21-237,2005,4,2,198,2.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ff0bc227
312,Facundo Farías,ar ARG,MF,CA San Lorenzo,24-018,2002,2,2,166,1.8,1,0,1,1,0,0,0,0,0.54,0.00,0.54,0.54,0.54,Matches,8863ae75
313,Facundo Farías,ar ARG,MFFW,Estudiantes–LP,24-018,2002,11,5,409,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8863ae75
314,Valentín Fascendini,ar ARG,DF,Talleres–C,23-186,2003,7,6,579,6.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,16e54624
315,Valentín Fascendini,ar ARG,DF,Unión,23-186,2003,5,3,275,3.1,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,16e54624
316,Federico Fattori,ar ARG,MF,Talleres–C,34-055,1992,7,6,499,5.5,0,1,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches,80373bb5
317,Federico Fattori,ar ARG,MF,Arg Juniors,34-055,1992,16,16,1363,15.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,80373bb5
318,Nazareno Fazzi,ar ARG,DF,Unión,19-259,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4cc40666
319,Juan Fedorco,ar ARG,DF,Independiente,25-291,2000,16,11,1058,11.8,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,36cb53e7
320,Luca Feler,ar ARG,MF,Vélez Sarsfield,18-232,2008,11,1,168,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9f7311f
321,Valentino Felici,ar ARG,FW,Rosario Central,18-218,2008,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6844b42e
322,Adrián Fernández,ar ARG,MFFW,Racing Club,25-118,2001,15,8,667,7.4,1,1,2,1,0,0,2,1,0.13,0.13,0.27,0.13,0.27,Matches,f07e11d8
323,Augusto Fernández,ar ARG,FW,Aldosivi,20-252,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5205be8d
324,Damián Fernández,ar ARG,DF,Defensa,25-256,2001,21,19,1673,18.6,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,a15750e1
325,David Fernández,py PAR,FW,Defensa,20-253,2006,3,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ccc5ea71
326,Esteban Fernández,ar ARG,MF,Gimnasia–M,24-252,2002,17,14,931,10.3,2,3,5,2,0,0,4,0,0.19,0.29,0.48,0.19,0.48,Matches,347d5cb0
327,Ignacio Fernández,ar ARG,MFFW,Gimnasia–LP,36-246,1990,23,23,1876,20.8,2,4,6,2,0,1,10,0,0.10,0.19,0.29,0.10,0.29,Matches,97a17c0b
328,Julián Fernández,ar ARG,MFFW,Rosario Central,22-255,2004,13,11,928,10.3,2,2,4,2,0,0,1,0,0.19,0.19,0.39,0.19,0.39,Matches,83572e83
329,Julián Fernández,ar ARG,MF,Atlé Tucumán,31-177,1995,6,1,150,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,88d268c8
330,Leandro Fernández,ar ARG,FW,Defensa,35-187,1991,9,8,625,6.9,2,1,3,2,0,0,1,0,0.29,0.14,0.43,0.29,0.43,Matches,c18bd878
331,Leandro Fernández,ar ARG,FW,Arg Juniors,35-187,1991,7,1,149,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c18bd878
332,Manuel Fernández,ar ARG,FW,Tigre,21-342,2004,6,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,710eecee
333,Matías Fernández,ar ARG,MFFW,Ind. Rivadavia,25-084,2001,22,20,1557,17.3,3,6,9,3,0,1,7,0,0.17,0.35,0.52,0.17,0.52,Matches,2d8dc53e
334,Nicolás Fernández,ar ARG,FW,Belgrano,30-219,1996,23,18,1334,14.8,3,4,7,3,0,1,2,0,0.20,0.27,0.47,0.20,0.47,Matches,31d73bbd
335,Pol Fernández,ar ARG,MF,Rosario Central,34-339,1991,13,5,465,5.2,0,1,1,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,Matches,24377e64
336,Rodrigo Fernández,uy URU,MF,Huracán,30-255,1996,6,6,534,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,617ee116
337,Rodrigo Fernández,uy URU,MF,Independiente,30-255,1996,12,4,479,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,617ee116
338,Santiago Fernández,ar ARG,DF,Talleres–C,21-169,2005,18,17,1421,15.8,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,8c6fe2bf
339,Tomás Fernández,ar ARG,MFFW,Aldosivi,28-038,1998,15,7,815,9.1,2,3,5,2,0,0,4,0,0.22,0.33,0.55,0.22,0.55,Matches,491eb973
340,Juan Fernando Garro,ar ARG,FW,Estudiantes–RC,33-295,1992,5,2,198,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6009bf94
341,Gianluca Ferrari,ar ARG,DF,Atlé Tucumán,29-077,1997,9,8,722,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,09e1d2b1
342,Clever Ferreira,py PAR,DF,Atlé Tucumán,23-207,2003,19,17,1555,17.3,3,1,4,3,0,0,4,0,0.17,0.06,0.23,0.17,0.23,Matches,7221c7da
343,Javier Ferreira,py PAR,FW,Estudiantes–RC,34-212,1992,17,4,523,5.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,599d9ac8
344,Pablo Ferreira,ar ARG,MF,Platense,21-327,2004,9,7,615,6.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,8306e93b
345,Brian Ferreyra,ar ARG,FW,Gimnasia–M,29-308,1996,10,0,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f4145a0e
346,Cristopher Fiermarin,uy URU,GK,Defensa,28-257,1998,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a910a78
347,Jorge Figal,ar ARG,DF,Boca Juniors,32-165,1994,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,91e44066
348,Gabriel Florentín,ar ARG,MF,Arg Juniors,27-186,1999,11,2,242,2.7,0,1,1,0,0,0,2,0,0.00,0.37,0.37,0.00,0.37,Matches,9e809ff4
349,Jose Florentín,py PAR,MF,Ind. Rivadavia,30-072,1996,24,22,2018,22.4,5,1,6,5,0,0,4,0,0.22,0.04,0.27,0.22,0.27,Matches,c5510535
350,Gonzalo Flores,ar ARG,MF,Dep. Riestra,24-205,2002,5,2,154,1.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,e7ba6063
351,Joaquin Flores,ar ARG,MF,C. Córdoba–SdE,21-110,2005,7,0,137,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,06448418
352,Leonel Flores,ar ARG,FWMF,Boca Juniors,19-221,2007,8,8,631,7.0,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,bfd2f2f4
353,Matias Fonseca,uy URU,FW,Instituto,25-187,2001,17,6,578,6.4,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,a92c629d
354,Ezequiel Forclaz,ar ARG,MF,Estudiantes–RC,23-165,2003,5,0,105,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8e301679
355,Alan Forneris,ar ARG,MF,Racing Club,21-230,2005,3,0,74,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1a0e5cb7
356,Francisco Fraga,ar ARG,FW,Racing Club,20-210,2006,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,58bd5ff8
357,Franco Fragapane,ar ARG,MF,Unión,33-221,1993,6,3,191,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,09538c47
358,Juan Franco Arrellaga,py PAR,DF,Gimnasia–M,34-217,1992,10,9,635,7.1,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,6015ddd0
359,Nicolás Freire,ar ARG,DF,Independiente,32-209,1994,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,653222cd
360,Joaquín Freitas,ar ARG,MFFW,River Plate,19-287,2006,16,8,871,9.7,1,1,2,1,0,0,2,0,0.10,0.10,0.21,0.10,0.21,Matches,62420800
361,Ramiro Funes Mori,ar ARG,DF,Estudiantes–LP,35-194,1991,6,5,445,4.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,89cbc961
362,Lucas Gabriel Silva,ar ARG,MF,River Plate,19-201,2007,2,2,170,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,04b50264
363,Ramiro Gagliardi,ar ARG,FW,Defensa,20-031,2006,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4cf84014
364,Adolfo Gaich,ar ARG,FW,Estudiantes–LP,27-201,1999,14,7,643,7.1,4,2,6,4,0,0,1,0,0.56,0.28,0.84,0.56,0.84,Matches,8dfed6e9
365,Nicolás Gaitán,ar ARG,MF,Aldosivi,38-204,1988,7,5,418,4.6,1,1,2,1,0,0,0,0,0.22,0.22,0.43,0.22,0.43,Matches,7ebfac0f
366,Matías Galarza,ar ARG,MF,Talleres–C,24-195,2002,24,22,1966,21.8,0,1,1,0,0,0,6,1,0.00,0.05,0.05,0.00,0.05,Matches,ea26f62e
367,Hernán Galíndez,ec ECU,GK,Huracán,39-169,1987,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,89c136f6
368,Facundo Gallardo,ar ARG,MF,Estudiantes–RC,20-245,2006,4,2,157,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ef27510
369,Matías Gallardo,ar ARG,MF,Instituto,22-296,2003,17,8,792,8.8,1,1,2,1,0,0,5,1,0.11,0.11,0.23,0.11,0.23,Matches,b6c7daef
370,Rodrigo Gallo,ar ARG,DF,Dep. Riestra,25-315,2000,9,6,457,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ab84ccab
371,Giuliano Galoppo,ar ARG,MF,River Plate,27-089,1999,9,2,335,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches,a8eeadaf
372,Francisco Galván,ar ARG,FW,Estudiantes–RC,27-061,1999,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6fe136c5
373,Ignacio Galván,ar ARG,DF,Atlé Tucumán,24-009,2002,20,16,1508,16.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,e2525aa4
374,Jonathan Galván,ar ARG,DF,Instituto,34-082,1992,22,21,1613,17.9,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,f865dc98
375,Tomás Galván,ar ARG,MF,River Plate,26-157,2000,24,22,1682,18.7,4,2,6,4,0,0,0,0,0.21,0.11,0.32,0.21,0.32,Matches,e699d3db
376,Lucas Gamba,ar ARG,MF,Barracas Central,39-083,1987,6,1,133,1.5,1,0,1,1,0,0,0,0,0.68,0.00,0.68,0.68,0.68,Matches,ca252a8a
377,Martín Garay,ar ARG,MFDF,Tigre,27-095,1999,18,11,1177,13.1,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,Matches,57148654
378,Agustín García Basso,ar ARG,DF,Racing Club,34-173,1992,7,6,512,5.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,84c478aa
379,Franco García,ar ARG,MFFW,Newell's,29-103,1997,8,2,224,2.5,1,0,1,1,0,0,0,0,0.40,0.00,0.40,0.40,0.40,Matches,c06ffd65
380,Joaquín García,ar ARG,DF,Vélez Sarsfield,25-026,2001,21,20,1797,20.0,2,0,2,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,14779141
381,Luciano Agustin Bonomo Garcia,ar ARG,MF,Belgrano,34-257,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,30cc5726
382,Manuel García,ar ARG,MFDF,Sarmiento–J,27-096,1999,14,9,875,9.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,64b184ac
383,Martín García,,MFFW,Aldosivi,,,17,9,838,9.3,0,1,1,0,0,0,7,0,0.00,0.11,0.11,0.00,0.11,Matches,461e8795
384,Mateo García,ar ARG,FWMF,Newell's,30-005,1996,5,0,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,62db2015
385,Matías García,ar ARG,MF,Dep. Riestra,30-308,1995,10,6,525,5.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,fd4c1b7a
386,Ignacio Gariglio,ar ARG,DF,Dep. Riestra,28-143,1998,6,4,320,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d48edda3
387,Martín Garnerone,ar ARG,MFFW,Estudiantes–RC,27-352,1998,18,13,983,10.9,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,7fd2f019
388,Juan Gauto,ar ARG,MF,Platense,22-105,2004,21,14,1221,13.6,0,2,2,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches,1a0de1bd
389,Gonzalo Gelini,ar ARG,FW,Boca Juniors,19-274,2006,5,2,186,2.1,0,1,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,Matches,61740a18
390,Alejo Gelsomino,ar ARG,DF,Gimnasia–LP,21-123,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,12bc01fb
391,Bautista Gerez,ar ARG,FW,C. Córdoba–SdE,19-245,2007,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f8a7bf7
392,Laurtaro Giaccone,ar ARG,MFFW,Arg Juniors,25-226,2001,10,3,358,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a9ff6cf
393,Renzo Giampaoli,ar ARG,DF,Gimnasia–LP,26-251,2000,19,15,1384,15.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,54d90093
394,Lautaro Gianetti,ar ARG,DF,Newell's,32-306,1993,9,8,741,8.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e08ac719
395,Santino Gianini,ar ARG,DF,Arg Juniors,17-356,2008,1,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6a2891c8
396,Emiliano Giannunzio,ar ARG,MF,Unión,44-233,1982,9,5,468,5.2,0,1,1,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,1817c289
397,Leonardo Gil,ar ARG,MF,Huracán,35-107,1991,24,19,1659,18.4,0,2,2,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,0ac8475f
398,Orlando Gill,py PAR,GK,CA San Lorenzo,26-096,2000,18,18,1591,17.7,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,0d425331
399,Elián Giménez,ar ARG,MF,Sarmiento–J,22-176,2004,6,3,211,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f936b331
400,Enzo Giménez,py PAR,MFDF,Rosario Central,28-210,1998,14,14,1245,13.8,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches,50cc35d1
401,Juan Giménez,ar ARG,DF,Rosario Central,20-141,2006,1,1,58,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e907e63b
402,Luciano Giménez,ar ARG,FW,Huracán,26-209,2000,6,1,109,1.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,74d84a14
403,Luciano Giménez,ar ARG,FW,Platense,26-209,2000,4,2,195,2.2,1,0,1,1,0,0,0,0,0.46,0.00,0.46,0.46,0.46,Matches,74d84a14
404,Matías Giménez,ar ARG,FW,Arg Juniors,27-193,1999,8,0,181,2.0,1,0,1,1,0,0,1,0,0.50,0.00,0.50,0.50,0.50,Matches,966e3b08
405,Milton Giménez,ar ARG,FW,Boca Juniors,30-034,1996,8,3,269,3.0,3,0,3,2,1,1,1,0,1.00,0.00,1.00,0.67,0.67,Matches,526f7e39
406,Ulises Giménez,ar ARG,DF,Sarmiento–J,20-257,2006,6,1,203,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,78104f06
407,Federico Gino,uy URU,MF,Aldosivi,33-201,1993,13,12,1026,11.4,2,0,2,1,1,1,6,0,0.18,0.00,0.18,0.09,0.09,Matches,2c9a3484
408,Dilan Godoy,ar ARG,FWMF,Vélez Sarsfield,20-222,2006,19,10,851,9.5,0,3,3,0,0,0,2,0,0.00,0.32,0.32,0.00,0.32,Matches,cd0befd7
409,Erik Godoy,ar ARG,DF,Arg Juniors,33-030,1993,11,7,595,6.6,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,e8b80334
410,Lautaro Godoy,py PAR,MF,Atlé Tucumán,23-184,2003,22,12,1242,13.8,1,2,3,1,0,0,3,1,0.07,0.14,0.22,0.07,0.22,Matches,3546ee7e
411,Leonardo Godoy,ar ARG,DF,Independiente,31-140,1995,16,14,1052,11.7,1,0,1,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches,0f9d8e45
412,Matías Godoy,ar ARG,MF,Aldosivi,24-248,2002,8,5,470,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0085841a
413,Jonatan Goitía,ar ARG,MF,Dep. Riestra,32-044,1994,22,13,1154,12.8,0,1,1,0,0,0,7,1,0.00,0.08,0.08,0.00,0.08,Matches,edbdf494
414,Elías Gómez,ar ARG,DF,Vélez Sarsfield,32-098,1994,24,24,2132,23.7,0,4,4,0,0,0,7,0,0.00,0.17,0.17,0.00,0.17,Matches,9f110faf
415,Emmanuel Gómez,ar ARG,GK,Ind. Rivadavia,25-001,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18908e5b
416,Iván Gómez,ar ARG,MF,Platense,29-199,1997,13,11,943,10.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,426ec996
417,José Gómez,ar ARG,DF,C. Córdoba–SdE,26-193,2000,5,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e7b74651
418,Lautaro Gómez,ar ARG,MF,Banfield,23-038,2003,23,11,1024,11.4,4,0,4,4,0,0,2,0,0.35,0.00,0.35,0.35,0.35,Matches,61d1a611
419,Lucas Gómez,ar ARG,MF,Newell's,22-090,2004,3,0,30,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c19830ba
420,Lucas Gómez,ar ARG,MF,Arg Juniors,22-090,2004,9,2,271,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c19830ba
421,Luciano Gómez,ar ARG,DF,Ind. Rivadavia,30-177,1996,14,6,655,7.3,1,2,3,1,0,0,1,0,0.14,0.27,0.41,0.14,0.41,Matches,0bc8cd45
422,Matias Gomez,ar ARG,MF,Talleres–C,20-296,2005,2,1,82,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,578cbfc6
423,Thiago Gómez,ar ARG,DF,Arg Juniors,20-181,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,539e6231
424,Alexis González,ar ARG,FW,Sarmiento–J,21-245,2005,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ad8abf4
425,Imanol González Benac,ar ARG,DF,Gimnasia–M,28-252,1998,7,7,577,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46ef5ad0
426,Facundo González,ar ARG,DF,River Plate,20-165,2006,3,1,138,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f595ea9c
427,Francisco González,ar ARG,MF,Belgrano,29-170,1997,18,8,810,9.0,3,0,3,3,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches,d454a739
428,Gaston Gonzalez,ar ARG,MF,Sarmiento–J,25-080,2001,9,0,184,2.0,1,1,2,1,0,0,0,0,0.49,0.49,0.98,0.49,0.98,Matches,74fef6d2
429,Giovanni González,uy URU,DF,River Plate,31-360,1994,3,1,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1fc474ae
430,Gonzalo González,ar ARG,MF,Estudiantes–RC,31-193,1995,9,8,681,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c5282c88
431,Gonzalo González,ar ARG,FW,Gimnasia–LP,31-193,1995,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5282c88
432,Lucas González,ar ARG,FW,Estudiantes–RC,29-052,1997,4,0,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cadfd4d6
433,Lucas González,ar ARG,MF,C. Córdoba–SdE,26-104,2000,23,18,1488,16.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,528b1be4
434,Luciano González,uy URU,FW,Defensa,20-257,2006,4,0,130,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c8989346
435,Leandro González Pirez,ar ARG,DF,Estudiantes–LP,34-201,1992,17,14,1317,14.6,1,0,1,1,0,0,9,0,0.07,0.00,0.07,0.07,0.07,Matches,5ba1112c
436,Rodrigo González,ar ARG,DFMF,Aldosivi,26-154,2000,20,17,1395,15.5,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches,a01052f2
437,Santiago González,ar ARG,MF,Tigre,23-135,2003,9,6,509,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2223cdf0
438,Tomás González,ar ARG,MF,Dep. Riestra,23-120,2003,9,2,393,4.4,2,0,2,2,0,0,0,0,0.46,0.00,0.46,0.46,0.46,Matches,960cec50
439,Tomás González,ar ARG,MF,Estudiantes–RC,27-318,1998,23,21,1711,19.0,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,c3392671
440,Tomás González,ar ARG,FW,Unión,23-120,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,960cec50
441,Jano Gordon,ar ARG,DF,Vélez Sarsfield,22-091,2004,3,3,258,2.9,1,0,1,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches,1477cae6
442,Dylan Gorosito,ar ARG,DF,Boca Juniors,20-224,2006,6,5,455,5.1,0,2,2,0,0,0,1,0,0.00,0.40,0.40,0.00,0.40,Matches,78873bad
443,Miguel Graneros,ar ARG,FW,Dep. Riestra,30-140,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6eeefe55
