,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
61,Carlos Arce,ar ARG,MF,Barracas Central,35-364,1990,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4c49e1f1
62,Ignacio Arce,ar ARG,GK,Dep. Riestra,34-160,1992,25,25,2250,25.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,707fcc63
63,Gabriel Arias,cl CHI,GK,Newell's,39-002,1987,7,7,612,6.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9f9cbfca
64,Junior Arias,uy URU,FW,Aldosivi,33-121,1993,11,9,714,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0e740cff
65,Matías Arias,ar ARG,MF,Vélez Sarsfield,19-130,2007,6,1,138,1.5,0,1,1,0,0,0,1,0,0.00,0.65,0.65,0.00,0.65,Matches,052c41be
66,Oscar Arias,ar ARG,DF,CA San Lorenzo,21-256,2005,1,1,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,267c2050
67,Ramón Arias,uy URU,DF,Tigre,34-050,1992,7,3,293,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8b6d7b27
68,Santiago Arias,co COL,DF,Independiente,34-245,1992,18,11,1179,13.1,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches,fdd60087
69,Joaquín Ariel Novillo,ar ARG,DF,Aldosivi,28-208,1998,8,8,654,7.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af36c6d0
70,Franco Armani,ar ARG,GK,River Plate,39-334,1986,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b3e42951
71,Blas Armoa,py PAR,FW,Gimnasia–M,26-224,2000,9,3,304,3.4,1,0,1,1,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches,c0d97f5c
72,Gaston Arturia,ar ARG,DF,Sarmiento–J,26-321,1999,12,5,510,5.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cb5e158d
73,Santiago Ascacíbar,ar ARG,MF,Estudiantes–LP,29-202,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e26fcca3
74,Santiago Ascacíbar,ar ARG,MF,Boca Juniors,29-202,1997,20,16,1501,16.7,5,2,7,5,0,0,4,0,0.30,0.12,0.42,0.30,0.42,Matches,e26fcca3
75,Jorge de Asís,ar ARG,FW,Gimnasia–LP,20-229,2006,2,0,23,0.3,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,3b6c0225
76,Rodrigo Atencio,ar ARG,MFFW,Ind. Rivadavia,24-077,2002,19,7,853,9.5,0,4,4,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches,5540acb4
77,Agustín Auzmendi,ar ARG,FW,Gimnasia–LP,29-226,1997,25,13,1300,14.4,6,2,8,5,1,1,1,0,0.42,0.14,0.55,0.35,0.48,Matches,b5a3e7fe
78,Rodrigo Auzmendi,ar ARG,FW,CA San Lorenzo,25-256,2001,16,13,1185,13.2,5,0,5,5,0,0,4,0,0.38,0.00,0.38,0.38,0.38,Matches,c89d0b23
79,Rodrigo Auzmendi,ar ARG,FW,Banfield,25-256,2001,7,1,187,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c89d0b23
80,Gabriel Ávalos,py PAR,FW,Independiente,35-338,1990,22,22,1951,21.7,10,5,15,8,2,2,3,0,0.46,0.23,0.69,0.37,0.60,Matches,b6781b67
81,Ezequiel Ávila,ar ARG,FW,Independiente,32-221,1994,2,1,111,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,253a06b9
82,Gastón Ávila,ar ARG,DF,Rosario Central,24-350,2001,18,16,1459,16.2,2,2,4,2,0,0,2,0,0.12,0.12,0.25,0.12,0.25,Matches,f648b2e1
83,Lucas Ayala,ar ARG,DF,Unión,19-216,2007,7,7,578,6.4,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches,fc9fa719
84,Thyago Ayala,ar ARG,GK,Sarmiento–J,25-008,2001,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f200ce4
85,Renzo Bacchia,uy URU,GK,Estudiantes–RC,27-235,1999,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8ccc2401
86,Rodrigo Bacidalupe,ar ARG,FW,Boca Juniors,19-055,2007,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3830319
87,Tomás Badaloni,ar ARG,FW,Rosario Central,26-136,2000,6,3,278,3.1,0,1,1,0,0,0,0,0,0.00,0.32,0.32,0.00,0.32,Matches,d3a444aa
88,Gabriel Báez,ar ARG,DFMF,Talleres–C,31-056,1995,14,12,1060,11.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8032e250
89,Claudio Baeza,cl CHI,MF,Vélez Sarsfield,32-266,1993,20,12,1156,12.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,9ba1c30c
90,Mateo Bajamich,ar ARG,FW,Estudiantes–RC,27-043,1999,19,11,988,11.0,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,d005b036
